regionname,regiontype,statename,metro,statecodefips,municipalcodefips,year,strstate,strcounty,fips,County_Key,yr_index,cty_2007_index,cty_2010_index,cty_2011_index,change_hp
"Autauga County","County","AL","Montgomery",1,1,2001,1,1,1001,1001,149956.3,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2002,1,1,1001,1001,152198.1,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2003,1,1,1001,1001,157407.7,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2004,1,1,1001,1001,163252.2,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2005,1,1,1001,1001,174634.1,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2006,1,1,1001,1001,188262.5,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2007,1,1,1001,1001,194474.8,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2008,1,1,1001,1001,195550.2,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2009,1,1,1001,1001,190480.1,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2010,1,1,1001,1001,182555.2,194474.8,182555.2,177159.2,-.0932542
"Autauga County","County","AL","Montgomery",1,1,2011,1,1,1001,1001,177159.2,194474.8,182555.2,177159.2,-.0932542
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2001,1,3,1003,1003,137792,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2002,1,3,1003,1003,142064.2,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2003,1,3,1003,1003,145788.2,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2004,1,3,1003,1003,154264.4,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2005,1,3,1003,1003,175659.8,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2006,1,3,1003,1003,205092.2,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2007,1,3,1003,1003,215947.3,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2008,1,3,1003,1003,207075.5,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2009,1,3,1003,1003,192701.4,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2010,1,3,1003,1003,173061.5,215947.3,173061.5,158529.6,-.3090933
"Baldwin County","County","AL","Daphne-Fairhope-Foley",1,3,2011,1,3,1003,1003,158529.6,215947.3,173061.5,158529.6,-.3090933
"Barbour County","County","AL","Eufaula",1,5,2001,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2002,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2003,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2004,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2005,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2006,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2007,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2008,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2009,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2010,1,5,1005,1005,,,,,
"Barbour County","County","AL","Eufaula",1,5,2011,1,5,1005,1005,,,,,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2001,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2002,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2003,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2004,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2005,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2006,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2007,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2008,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2009,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2010,1,7,1007,1007,,,,112900,
"Bibb County","County","AL","Birmingham-Hoover",1,7,2011,1,7,1007,1007,112900,,,112900,
"Blount County","County","AL","Birmingham-Hoover",1,9,2001,1,9,1009,1009,147181.8,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2002,1,9,1009,1009,151304.6,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2003,1,9,1009,1009,156351.9,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2004,1,9,1009,1009,163175.7,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2005,1,9,1009,1009,174705.8,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2006,1,9,1009,1009,187749.3,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2007,1,9,1009,1009,195558.3,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2008,1,9,1009,1009,197700.3,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2009,1,9,1009,1009,189885.5,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2010,1,9,1009,1009,182139.3,195558.3,182139.3,175085.8,-.1105829
"Blount County","County","AL","Birmingham-Hoover",1,9,2011,1,9,1009,1009,175085.8,195558.3,182139.3,175085.8,-.1105829
"Bullock County","County","AL","",1,11,2001,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2002,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2003,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2004,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2005,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2006,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2007,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2008,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2009,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2010,1,11,1011,1011,,,,,
"Bullock County","County","AL","",1,11,2011,1,11,1011,1011,,,,,
"Butler County","County","AL","",1,13,2001,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2002,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2003,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2004,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2005,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2006,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2007,1,13,1013,1013,,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2008,1,13,1013,1013,86917.84,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2009,1,13,1013,1013,86416.09,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2010,1,13,1013,1013,76991.41,,76991.41,72758.58,
"Butler County","County","AL","",1,13,2011,1,13,1013,1013,72758.58,,76991.41,72758.58,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2001,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2002,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2003,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2004,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2005,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2006,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2007,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2008,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2009,1,15,1015,1015,,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2010,1,15,1015,1015,91724.5,,91724.5,88861.99,
"Calhoun County","County","AL","Anniston-Oxford-Jacksonville",1,15,2011,1,15,1015,1015,88861.99,,91724.5,88861.99,
"Chambers County","County","AL","Valley",1,17,2001,1,17,1017,1017,,,68247.08,62765.75,
"Chambers County","County","AL","Valley",1,17,2002,1,17,1017,1017,,,68247.08,62765.75,
